alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
pb_core_cd14_monocyte_il6_jak_stat3,pb.core_cd14_monocyte_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_cd14_monocyte_inflammatory,pb.core_cd14_monocyte_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_cd14_monocyte_tnfa_nfkb,pb.core_cd14_monocyte_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_ifn_alpha,pb.core_cd16_monocyte_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_ifn_gamma,pb.core_cd16_monocyte_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_il2_stat5,pb.core_cd16_monocyte_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_il6_jak_stat3,pb.core_cd16_monocyte_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_inflammatory,pb.core_cd16_monocyte_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_cd16_monocyte_tnfa_nfkb,pb.core_cd16_monocyte_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_ifn_alpha,pb.core_memory_b_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_ifn_gamma,pb.core_memory_b_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_il2_stat5,pb.core_memory_b_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_il6_jak_stat3,pb.core_memory_b_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_inflammatory,pb.core_memory_b_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_memory_b_cell_tnfa_nfkb,pb.core_memory_b_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_ifn_alpha,pb.core_naive_b_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_ifn_gamma,pb.core_naive_b_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_il2_stat5,pb.core_naive_b_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_il6_jak_stat3,pb.core_naive_b_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_inflammatory,pb.core_naive_b_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_naive_b_cell_tnfa_nfkb,pb.core_naive_b_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_ifn_alpha,pb.core_naive_cd4_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_ifn_gamma,pb.core_naive_cd4_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_il2_stat5,pb.core_naive_cd4_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_il6_jak_stat3,pb.core_naive_cd4_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_inflammatory,pb.core_naive_cd4_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd4_t_cell_tnfa_nfkb,pb.core_naive_cd4_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_ifn_alpha,pb.core_naive_cd8_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_ifn_gamma,pb.core_naive_cd8_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_il2_stat5,pb.core_naive_cd8_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_il6_jak_stat3,pb.core_naive_cd8_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_inflammatory,pb.core_naive_cd8_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_core_naive_cd8_t_cell_tnfa_nfkb,pb.core_naive_cd8_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_ifn_alpha,pb.gzmb_cd27_em_cd4_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_ifn_gamma,pb.gzmb_cd27_em_cd4_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_il2_stat5,pb.gzmb_cd27_em_cd4_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,pb.gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_inflammatory,pb.gzmb_cd27_em_cd4_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,pb.gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_ifn_alpha,pb.gzmk_cd56dim_nk_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_ifn_gamma,pb.gzmk_cd56dim_nk_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_il2_stat5,pb.gzmk_cd56dim_nk_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_il6_jak_stat3,pb.gzmk_cd56dim_nk_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_inflammatory,pb.gzmk_cd56dim_nk_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_gzmk_cd56dim_nk_cell_tnfa_nfkb,pb.gzmk_cd56dim_nk_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_ifn_alpha,pb.gzmk_vd2_gdt_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_ifn_gamma,pb.gzmk_vd2_gdt_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_il2_stat5,pb.gzmk_vd2_gdt_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_il6_jak_stat3,pb.gzmk_vd2_gdt_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_inflammatory,pb.gzmk_vd2_gdt_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_gzmk_vd2_gdt_tnfa_nfkb,pb.gzmk_vd2_gdt_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_ifn_alpha,pb.hla_drhi_cdc2_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_ifn_gamma,pb.hla_drhi_cdc2_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_il2_stat5,pb.hla_drhi_cdc2_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_il6_jak_stat3,pb.hla_drhi_cdc2_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_inflammatory,pb.hla_drhi_cdc2_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_hla_drhi_cdc2_tnfa_nfkb,pb.hla_drhi_cdc2_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_ifn_alpha,pb.intermediate_monocyte_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_ifn_gamma,pb.intermediate_monocyte_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_il2_stat5,pb.intermediate_monocyte_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_il6_jak_stat3,pb.intermediate_monocyte_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_inflammatory,pb.intermediate_monocyte_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_intermediate_monocyte_tnfa_nfkb,pb.intermediate_monocyte_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_ifn_alpha,pb.isg_cd14_monocyte_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_ifn_gamma,pb.isg_cd14_monocyte_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_il2_stat5,pb.isg_cd14_monocyte_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_il6_jak_stat3,pb.isg_cd14_monocyte_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_inflammatory,pb.isg_cd14_monocyte_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_isg_cd14_monocyte_tnfa_nfkb,pb.isg_cd14_monocyte_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_ifn_alpha,pb.isg_memory_cd4_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_ifn_gamma,pb.isg_memory_cd4_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_il2_stat5,pb.isg_memory_cd4_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_il6_jak_stat3,pb.isg_memory_cd4_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_inflammatory,pb.isg_memory_cd4_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_isg_memory_cd4_t_cell_tnfa_nfkb,pb.isg_memory_cd4_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_ifn_alpha,pb.klrb1_memory_cd4_treg_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_ifn_gamma,pb.klrb1_memory_cd4_treg_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_il2_stat5,pb.klrb1_memory_cd4_treg_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_il6_jak_stat3,pb.klrb1_memory_cd4_treg_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_inflammatory,pb.klrb1_memory_cd4_treg_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_klrb1_memory_cd4_treg_tnfa_nfkb,pb.klrb1_memory_cd4_treg_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5,pb.klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3,pb.klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory,pb.klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_klrf1_gzmb_cd27_em_cd8_t_cell_tnfa_nfkb,pb.klrf1_gzmb_cd27_em_cd8_t_cell_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_ifn_alpha,pb.memory_cd4_treg_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_ifn_gamma,pb.memory_cd4_treg_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_il2_stat5,pb.memory_cd4_treg_il2_stat5,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_il6_jak_stat3,pb.memory_cd4_treg_il6_jak_stat3,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_inflammatory,pb.memory_cd4_treg_inflammatory,pb,continuous,FALSE,FALSE,NA
pb_memory_cd4_treg_tnfa_nfkb,pb.memory_cd4_treg_tnfa_nfkb,pb,continuous,FALSE,FALSE,NA
pb_naive_cd4_treg_ifn_alpha,pb.naive_cd4_treg_ifn_alpha,pb,continuous,FALSE,FALSE,NA
pb_naive_cd4_treg_ifn_gamma,pb.naive_cd4_treg_ifn_gamma,pb,continuous,FALSE,FALSE,NA
pb_naive_cd4_treg_il2_stat5,pb.naive_cd4_treg_il2_stat5,pb,continuous,FALSE,FALSE,NA
