from,to,constraint
pb.isg_memory_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_memory_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_memory_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_naive_b_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_naive_b_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_naive_b_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_naive_b_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_naive_b_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_naive_b_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_naive_cd4_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_ifn_alpha,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_ifn_gamma,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_il2_stat5,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_il6_jak_stat3,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_inflammatory,subject.ageGroup,blacklist
pb.isg_naive_cd8_t_cell_tnfa_nfkb,subject.ageGroup,blacklist
pb.klrb1_memory_cd4_treg_ifn_alpha,subject.ageGroup,blacklist
pb.klrb1_memory_cd4_treg_ifn_gamma,subject.ageGroup,blacklist
