node,tier
pb.gzmk_vd2_gdt_inflammatory,1
pb.gzmk_vd2_gdt_tnfa_nfkb,1
pb.hla_drhi_cdc2_ifn_alpha,1
pb.hla_drhi_cdc2_ifn_gamma,1
pb.hla_drhi_cdc2_il2_stat5,1
pb.hla_drhi_cdc2_il6_jak_stat3,1
pb.hla_drhi_cdc2_inflammatory,1
pb.hla_drhi_cdc2_tnfa_nfkb,1
pb.il1b_cd14_monocyte_ifn_alpha,1
pb.il1b_cd14_monocyte_ifn_gamma,1
pb.il1b_cd14_monocyte_il2_stat5,1
pb.il1b_cd14_monocyte_il6_jak_stat3,1
pb.il1b_cd14_monocyte_inflammatory,1
pb.il1b_cd14_monocyte_tnfa_nfkb,1
pb.ilc_ifn_alpha,1
pb.ilc_ifn_gamma,1
pb.ilc_il2_stat5,1
pb.ilc_il6_jak_stat3,1
pb.ilc_inflammatory,1
pb.ilc_tnfa_nfkb,1
pb.intermediate_monocyte_ifn_alpha,1
pb.intermediate_monocyte_ifn_gamma,1
pb.intermediate_monocyte_il2_stat5,1
pb.intermediate_monocyte_il6_jak_stat3,1
pb.intermediate_monocyte_inflammatory,1
pb.intermediate_monocyte_tnfa_nfkb,1
pb.isg_cd14_monocyte_ifn_alpha,1
pb.isg_cd14_monocyte_ifn_gamma,1
pb.isg_cd14_monocyte_il2_stat5,1
pb.isg_cd14_monocyte_il6_jak_stat3,1
pb.isg_cd14_monocyte_inflammatory,1
pb.isg_cd14_monocyte_tnfa_nfkb,1
pb.isg_cd16_monocyte_ifn_alpha,1
pb.isg_cd16_monocyte_ifn_gamma,1
pb.isg_cd16_monocyte_il2_stat5,1
pb.isg_cd16_monocyte_il6_jak_stat3,1
pb.isg_cd16_monocyte_inflammatory,1
pb.isg_cd16_monocyte_tnfa_nfkb,1
pb.isg_cd56dim_nk_cell_ifn_alpha,1
pb.isg_cd56dim_nk_cell_ifn_gamma,1
pb.isg_cd56dim_nk_cell_il2_stat5,1
pb.isg_cd56dim_nk_cell_il6_jak_stat3,1
pb.isg_cd56dim_nk_cell_inflammatory,1
pb.isg_cd56dim_nk_cell_tnfa_nfkb,1
pb.isg_cdc2_ifn_alpha,1
pb.isg_cdc2_ifn_gamma,1
pb.isg_cdc2_il2_stat5,1
pb.isg_cdc2_il6_jak_stat3,1
pb.isg_cdc2_inflammatory,1
pb.isg_cdc2_tnfa_nfkb,1
pb.isg_mait_ifn_alpha,1
pb.isg_mait_ifn_gamma,1
pb.isg_mait_il2_stat5,1
pb.isg_mait_il6_jak_stat3,1
pb.isg_mait_inflammatory,1
pb.isg_mait_tnfa_nfkb,1
pb.isg_memory_cd4_t_cell_ifn_alpha,1
pb.isg_memory_cd4_t_cell_ifn_gamma,1
pb.isg_memory_cd4_t_cell_il2_stat5,1
pb.isg_memory_cd4_t_cell_il6_jak_stat3,1
pb.isg_memory_cd4_t_cell_inflammatory,1
pb.isg_memory_cd4_t_cell_tnfa_nfkb,1
pb.isg_memory_cd8_t_cell_ifn_alpha,1
pb.isg_memory_cd8_t_cell_ifn_gamma,1
pb.isg_memory_cd8_t_cell_il2_stat5,1
pb.isg_memory_cd8_t_cell_il6_jak_stat3,1
pb.isg_memory_cd8_t_cell_inflammatory,1
pb.isg_memory_cd8_t_cell_tnfa_nfkb,1
pb.isg_naive_b_cell_ifn_alpha,1
pb.isg_naive_b_cell_ifn_gamma,1
pb.isg_naive_b_cell_il2_stat5,1
pb.isg_naive_b_cell_il6_jak_stat3,1
pb.isg_naive_b_cell_inflammatory,1
pb.isg_naive_b_cell_tnfa_nfkb,1
pb.isg_naive_cd4_t_cell_ifn_alpha,1
pb.isg_naive_cd4_t_cell_ifn_gamma,1
pb.isg_naive_cd4_t_cell_il2_stat5,1
pb.isg_naive_cd4_t_cell_il6_jak_stat3,1
pb.isg_naive_cd4_t_cell_inflammatory,1
pb.isg_naive_cd4_t_cell_tnfa_nfkb,1
pb.isg_naive_cd8_t_cell_ifn_alpha,1
pb.isg_naive_cd8_t_cell_ifn_gamma,1
pb.isg_naive_cd8_t_cell_il2_stat5,1
pb.isg_naive_cd8_t_cell_il6_jak_stat3,1
pb.isg_naive_cd8_t_cell_inflammatory,1
pb.isg_naive_cd8_t_cell_tnfa_nfkb,1
pb.klrb1_memory_cd4_treg_ifn_alpha,1
pb.klrb1_memory_cd4_treg_ifn_gamma,1
pb.klrb1_memory_cd4_treg_il2_stat5,1
pb.klrb1_memory_cd4_treg_il6_jak_stat3,1
pb.klrb1_memory_cd4_treg_inflammatory,1
pb.klrb1_memory_cd4_treg_tnfa_nfkb,1
pb.klrb1_memory_cd8_treg_ifn_alpha,1
pb.klrb1_memory_cd8_treg_ifn_gamma,1
pb.klrb1_memory_cd8_treg_il2_stat5,1
pb.klrb1_memory_cd8_treg_il6_jak_stat3,1
pb.klrb1_memory_cd8_treg_inflammatory,1
pb.klrb1_memory_cd8_treg_tnfa_nfkb,1
pb.klrf1_effector_vd1_gdt_ifn_alpha,1
pb.klrf1_effector_vd1_gdt_ifn_gamma,1
pb.klrf1_effector_vd1_gdt_il2_stat5,1
pb.klrf1_effector_vd1_gdt_il6_jak_stat3,1
pb.klrf1_effector_vd1_gdt_inflammatory,1
pb.klrf1_effector_vd1_gdt_tnfa_nfkb,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory,1
pb.klrf1_gzmb_cd27_em_cd8_t_cell_tnfa_nfkb,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_ifn_alpha,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_ifn_gamma,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_il2_stat5,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_il6_jak_stat3,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_inflammatory,1
pb.klrf1_gzmb_cd27_memory_cd4_t_cell_tnfa_nfkb,1
pb.memory_cd4_treg_ifn_alpha,1
pb.memory_cd4_treg_ifn_gamma,1
pb.memory_cd4_treg_il2_stat5,1
pb.memory_cd4_treg_il6_jak_stat3,1
pb.memory_cd4_treg_inflammatory,1
pb.memory_cd4_treg_tnfa_nfkb,1
pb.memory_cd8_treg_ifn_alpha,1
pb.memory_cd8_treg_ifn_gamma,1
pb.memory_cd8_treg_il2_stat5,1
pb.memory_cd8_treg_il6_jak_stat3,1
pb.memory_cd8_treg_inflammatory,1
pb.memory_cd8_treg_tnfa_nfkb,1
pb.naive_cd4_treg_ifn_alpha,1
pb.naive_cd4_treg_ifn_gamma,1
pb.naive_cd4_treg_il2_stat5,1
pb.naive_cd4_treg_il6_jak_stat3,1
pb.naive_cd4_treg_inflammatory,1
pb.naive_cd4_treg_tnfa_nfkb,1
pb.naive_vd1_gdt_ifn_alpha,1
pb.naive_vd1_gdt_ifn_gamma,1
pb.naive_vd1_gdt_il2_stat5,1
pb.naive_vd1_gdt_il6_jak_stat3,1
pb.naive_vd1_gdt_inflammatory,1
pb.naive_vd1_gdt_tnfa_nfkb,1
pb.pdc_ifn_alpha,1
pb.pdc_ifn_gamma,1
pb.pdc_il2_stat5,1
pb.pdc_il6_jak_stat3,1
pb.pdc_inflammatory,1
pb.pdc_tnfa_nfkb,1
pb.plasma_cell_ifn_alpha,1
pb.plasma_cell_ifn_gamma,1
pb.plasma_cell_il2_stat5,1
pb.plasma_cell_il6_jak_stat3,1
pb.plasma_cell_inflammatory,1
pb.plasma_cell_tnfa_nfkb,1
pb.platelet_ifn_alpha,1
pb.platelet_ifn_gamma,1
pb.platelet_il2_stat5,1
pb.platelet_il6_jak_stat3,1
pb.platelet_inflammatory,1
pb.platelet_tnfa_nfkb,1
pb.proliferating_nk_cell_ifn_alpha,1
pb.proliferating_nk_cell_ifn_gamma,1
pb.proliferating_nk_cell_il2_stat5,1
pb.proliferating_nk_cell_il6_jak_stat3,1
pb.proliferating_nk_cell_inflammatory,1
pb.proliferating_nk_cell_tnfa_nfkb,1
pb.proliferating_t_cell_ifn_alpha,1
pb.proliferating_t_cell_ifn_gamma,1
pb.proliferating_t_cell_il2_stat5,1
pb.proliferating_t_cell_il6_jak_stat3,1
pb.proliferating_t_cell_inflammatory,1
pb.proliferating_t_cell_tnfa_nfkb,1
pb.sox4_naive_cd4_t_cell_ifn_alpha,1
pb.sox4_naive_cd4_t_cell_ifn_gamma,1
pb.sox4_naive_cd4_t_cell_il2_stat5,1
pb.sox4_naive_cd4_t_cell_il6_jak_stat3,1
pb.sox4_naive_cd4_t_cell_inflammatory,1
pb.sox4_naive_cd4_t_cell_tnfa_nfkb,1
pb.sox4_naive_cd8_t_cell_ifn_alpha,1
pb.sox4_naive_cd8_t_cell_ifn_gamma,1
pb.sox4_naive_cd8_t_cell_il2_stat5,1
pb.sox4_naive_cd8_t_cell_il6_jak_stat3,1
pb.sox4_naive_cd8_t_cell_inflammatory,1
pb.sox4_naive_cd8_t_cell_tnfa_nfkb,1
pb.sox4_vd1_gdt_ifn_alpha,1
pb.sox4_vd1_gdt_ifn_gamma,1
pb.sox4_vd1_gdt_il2_stat5,1
pb.sox4_vd1_gdt_il6_jak_stat3,1
pb.sox4_vd1_gdt_inflammatory,1
pb.sox4_vd1_gdt_tnfa_nfkb,1
pb.transitional_b_cell_ifn_alpha,1
pb.transitional_b_cell_ifn_gamma,1
pb.transitional_b_cell_il2_stat5,1
pb.transitional_b_cell_il6_jak_stat3,1
pb.transitional_b_cell_inflammatory,1
pb.transitional_b_cell_tnfa_nfkb,1
pb.type_2_polarized_memory_b_cell_ifn_alpha,1
pb.type_2_polarized_memory_b_cell_ifn_gamma,1
pb.type_2_polarized_memory_b_cell_il2_stat5,1
pb.type_2_polarized_memory_b_cell_il6_jak_stat3,1
pb.type_2_polarized_memory_b_cell_inflammatory,1
pb.type_2_polarized_memory_b_cell_tnfa_nfkb,1
wb.adipogenesis,1
wb.allograft_rejection,1
wb.androgen_response,1
wb.angiogenesis,1
wb.apical_junction,1
wb.apical_surface,1
wb.apoptosis,1
wb.bile_acid_metabolism,1
wb.cholesterol_homeostasis,1
wb.coagulation,1
wb.complement,1
wb.dna_repair,1
wb.e2f_targets,1
wb.epithelial_mesenchymal_transition,1
wb.estrogen_response_early,1
wb.estrogen_response_late,1
wb.fatty_acid_metabolism,1
wb.g2_m_checkpoint,1
wb.glycolysis,1
wb.hedgehog_signaling,1
wb.heme_metabolism,1
wb.hypoxia,1
wb.il_2_stat5_signaling,1
wb.il_6_jak_stat3_signaling,1
wb.inflammatory_response,1
wb.interferon_alpha_response,1
wb.interferon_gamma_response,1
wb.kras_signaling_dn,1
wb.kras_signaling_up,1
wb.mitotic_spindle,1
wb.mtorc1_signaling,1
wb.myc_targets_v1,1
wb.myc_targets_v2,1
wb.myogenesis,1
wb.notch_signaling,1
wb.oxidative_phosphorylation,1
wb.p53_pathway,1
wb.pancreas_beta_cells,1
wb.pi3k_akt_mtor_signaling,1
wb.pperoxisome,1
wb.protein_secretion,1
wb.reactive_oxygen_species_pathway,1
wb.spermatogenesis,1
wb.tgf_beta_signaling,1
wb.tnf_alpha_signaling_via_nf_kb,1
wb.unfolded_protein_response,1
wb.uv_response_dn,1
wb.uv_response_up,1
wb.wnt_beta_catenin_signaling,1
wb.xenobiotic_metabolism,1
